ID,Issue Type,Summary,Description,Parent ID,Assignee,Priority,Status,Sprint,Estimate,Dependencies,Class
EP-01,Epic,Plataforma multi-tenant,"Multiples empresas (tenants) sobre la misma plataforma, con datos, configuracion y usuarios aislados entre ellas.",-,Nicolas Leon (PO),Highest,In Progress,Sprint 1,-,-,Funcional
EP-02,Epic,Directorio de actores,"Registro diferenciado de aliados (persona natural, empresa, empleado directo) y clientes (persona natural, empresa).",-,Nicolas Leon (PO),High,To Do,Sprint 2,-,EP-01,Funcional
EP-03,Epic,Catalogo y cobertura,Categorias de servicio configurables por tenant y declaracion de cobertura por zonas del aliado.,-,Nicolas Leon (PO),High,To Do,Sprint 2,-,EP-01,Funcional
EP-04,Epic,Ciclo del servicio,"Corazon del producto: solicitud, cotizacion, ejecucion, calificacion y cierre del servicio, sin dobles asignaciones.",-,Nicolas Leon (PO),Highest,To Do,Sprint 3,-,EP-02;EP-03,Funcional
EP-05,Epic,Comunicacion,Mensajeria y notificaciones asociadas a cada servicio en curso.,-,Nicolas Leon (PO),Medium,To Do,Sprint 4,-,EP-04,Funcional
EP-06,Epic,Tarifario,Tarifario de referencia por categoria y alerta cuando una cotizacion se sale de rango.,-,Nicolas Leon (PO),High,To Do,Sprint 3,-,EP-03,Funcional
EP-07,Epic,Pagos y facturacion,"2do incremento, fuera de alcance de este corte academico (PROY-02). Cobro centralizado y liquidacion al aliado.",-,Nicolas Leon (PO),Low,To Do,Posterior (fuera de alcance del corte),-,EP-04,Funcional
EP-08,Epic,Operacion y comercializacion,"2do incremento, fuera de alcance de este corte academico (PROY-02). Quejas, comercializacion y administracion avanzada.",-,Nicolas Leon (PO),Low,To Do,Posterior (fuera de alcance del corte),-,EP-01;EP-04,Funcional
EP-09,Epic,Gestion y configuracion del proyecto,"Configurar herramientas, repositorios, ambientes e infraestructura que el equipo y el producto necesitan para operar; no es funcionalidad de negocio.",-,Daniel Avila (DevOps),Highest,In Progress,Sprint 0,-,-,Configuracion
EP-10,Epic,Documentacion de arquitectura y entregables academicos,"SAD, DD, SDD, documento de infraestructura, documento de pruebas, presentaciones y demas entregables exigidos por el cronograma academico en cada Sprint Review.",-,Sara Albarracin (SM),Highest,To Do,Sprint 1,-,-,Tecnica / Arquitectura
SP-01.1.1,Spike,Aislamiento multi-tenant,"Definir estrategia de aislamiento de datos entre tenants (RNF-01, driver critico). Bloquea US-01.1.1.",EP-01,Juan Sebastian Alvarez (Alviz),Highest,To Do,Sprint 0,5,PROY-07,Tecnica / Arquitectura
